Id,y
30000,7
30001,9
30002,3
30003,5
30004,8
30005,2
30006,5
30007,9
30008,8
30009,1
30010,0
30011,1
30012,7
30013,7
30014,9
30015,0
30016,8
30017,8
30018,4
30019,1
30020,5
30021,4
30022,5
30023,0
30024,5
30025,7
30026,9
30027,5
30028,6
30029,8
30030,9
30031,8
30032,3
30033,2
30034,1
30035,2
30036,2
30037,8
30038,2
30039,8
30040,1
30041,1
30042,2
30043,5
30044,2
30045,8
30046,6
30047,9
30048,3
30049,0
30050,1
30051,0
30052,7
30053,2
30054,1
30055,3
30056,0
30057,7
30058,0
30059,4
30060,4
30061,9
30062,9
30063,7
30064,0
30065,3
30066,7
30067,5
30068,2
30069,6
30070,2
30071,4
30072,3
30073,2
30074,1
30075,6
30076,8
30077,8
30078,3
30079,9
30080,4
30081,6
30082,3
30083,9
30084,2
30085,8
30086,5
30087,0
30088,8
30089,4
30090,6
30091,4
30092,0
30093,7
30094,3
30095,5
30096,6
30097,8
30098,9
30099,7
30100,5
30101,8
30102,2
30103,6
30104,2
30105,0
30106,0
30107,8
30108,3
30109,3
30110,2
30111,3
30112,3
30113,7
30114,9
30115,3
30116,9
30117,6
30118,2
30119,1
30120,6
30121,8
30122,0
30123,3
30124,0
30125,2
30126,4
30127,6
30128,9
30129,4
30130,4
30131,5
30132,2
30133,9
30134,5
30135,8
30136,0
30137,2
30138,0
30139,4
30140,2
30141,7
30142,0
30143,6
30144,9
30145,1
30146,0
30147,5
30148,2
30149,6
30150,2
30151,3
30152,7
30153,3
30154,2
30155,5
30156,7
30157,1
30158,4
30159,0
30160,8
30161,2
30162,9
30163,8
30164,3
30165,3
30166,1
30167,1
30168,9
30169,2
30170,5
30171,1
30172,3
30173,9
30174,0
30175,5
30176,9
30177,2
30178,1
30179,1
30180,5
30181,3
30182,2
30183,1
30184,1
30185,3
30186,1
30187,1
30188,9
30189,5
30190,9
30191,0
30192,4
30193,5
30194,2
30195,3
30196,5
30197,0
30198,0
30199,8
30200,8
30201,2
30202,3
30203,6
30204,2
30205,9
30206,6
30207,5
30208,7
30209,5
30210,7
30211,6
30212,4
30213,2
30214,3
30215,4
30216,9
30217,2
30218,7
30219,8
30220,4
30221,6
30222,5
30223,3
30224,2
30225,2
30226,2
30227,4
30228,1
30229,7
30230,5
30231,3
30232,8
30233,1
30234,4
30235,6
30236,3
30237,2
30238,8
30239,7
30240,3
30241,5
30242,6
30243,5
30244,3
30245,6
30246,0
30247,4
30248,5
30249,8
30250,8
30251,5
30252,6
30253,6
30254,2
30255,2
30256,3
30257,5
30258,5
30259,7
30260,0
30261,5
30262,2
30263,4
30264,6
30265,1
30266,8
30267,7
30268,1
30269,3
30270,5
30271,5
30272,7
30273,0
30274,1
30275,5
30276,8
30277,7
30278,9
30279,7
30280,5
30281,9
30282,9
30283,9
30284,3
30285,6
30286,5
30287,7
30288,9
30289,7
30290,2
30291,9
30292,3
30293,6
30294,9
30295,4
30296,2
30297,7
30298,5
30299,6
30300,1
30301,5
30302,3
30303,6
30304,3
30305,7
30306,0
30307,6
30308,0
30309,1
30310,8
30311,1
30312,8
30313,7
30314,2
30315,7
30316,4
30317,3
30318,0
30319,9
30320,8
30321,1
30322,1
30323,1
30324,4
30325,7
30326,8
30327,2
30328,4
30329,4
30330,0
30331,5
30332,4
30333,9
30334,3
30335,9
30336,8
30337,5
30338,7
30339,4
30340,5
30341,7
30342,4
30343,3
30344,1
30345,6
30346,5
30347,5
30348,9
30349,4
30350,7
30351,0
30352,2
30353,1
30354,9
30355,7
30356,2
30357,3
30358,5
30359,7
30360,1
30361,3
30362,2
30363,0
30364,3
30365,1
30366,9
30367,2
30368,5
30369,6
30370,7
30371,6
30372,4
30373,3
30374,1
30375,3
30376,0
30377,9
30378,3
30379,4
30380,5
30381,4
30382,5
30383,5
30384,6
30385,1
30386,1
30387,7
30388,3
30389,4
30390,2
30391,3
30392,9
30393,2
30394,3
30395,4
30396,5
30397,3
30398,2
30399,8
30400,0
30401,8
30402,2
30403,1
30404,9
30405,1
30406,3
30407,6
30408,6
30409,3
30410,5
30411,2
30412,9
30413,6
30414,0
30415,3
30416,1
30417,9
30418,3
30419,3
30420,7
30421,0
30422,9
30423,6
30424,4
30425,7
30426,8
30427,0
30428,8
30429,4
30430,9
30431,2
30432,4
30433,4
30434,8
30435,8
30436,6
30437,1
30438,2
30439,6
30440,0
30441,0
30442,9
30443,1
30444,4
30445,0
30446,5
30447,9
30448,2
30449,5
30450,8
30451,7
30452,9
30453,9
30454,9
30455,9
30456,7
30457,3
30458,4
30459,3
30460,0
30461,4
30462,2
30463,6
30464,9
30465,4
30466,9
30467,6
30468,5
30469,8
30470,3
30471,0
30472,5
30473,2
30474,0
30475,0
30476,4
30477,8
30478,6
30479,3
30480,0
30481,1
30482,0
30483,6
30484,6
30485,6
30486,0
30487,7
30488,4
30489,3
30490,2
30491,9
30492,5
30493,2
30494,0
30495,1
30496,5
30497,5
30498,0
30499,5
30500,9
30501,5
30502,3
30503,5
30504,5
30505,6
30506,8
30507,9
30508,7
30509,7
30510,9
30511,8
30512,7
30513,3
30514,9
30515,3
30516,8
30517,8
30518,8
30519,4
30520,1
30521,6
30522,1
30523,9
30524,7
30525,4
30526,3
30527,2
30528,2
30529,9
30530,1
30531,2
30532,2
30533,8
30534,0
30535,2
30536,7
30537,7
30538,6
30539,1
30540,9
30541,2
30542,2
30543,0
30544,9
30545,0
30546,2
30547,7
30548,3
30549,7
30550,4
30551,7
30552,1
30553,0
30554,0
30555,2
30556,0
30557,6
30558,0
30559,5
30560,4
30561,5
30562,1
30563,0
30564,8
30565,8
30566,7
30567,4
30568,4
30569,1
30570,4
30571,2
30572,5
30573,7
30574,0
30575,3
30576,2
30577,3
30578,8
30579,6
30580,8
30581,0
30582,8
30583,1
30584,0
30585,2
30586,9
30587,1
30588,9
30589,2
30590,5
30591,9
30592,4
30593,2
30594,3
30595,8
30596,9
30597,0
30598,0
30599,7
30600,6
30601,3
30602,2
30603,9
30604,2
30605,0
30606,1
30607,1
30608,6
30609,0
30610,1
30611,9
30612,2
30613,1
30614,9
30615,0
30616,9
30617,2
30618,5
30619,1
30620,3
30621,0
30622,2
30623,5
30624,5
30625,9
30626,5
30627,5
30628,2
30629,8
30630,1
30631,8
30632,7
30633,8
30634,1
30635,5
30636,6
30637,7
30638,0
30639,4
30640,6
30641,1
30642,1
30643,5
30644,6
30645,7
30646,6
30647,4
30648,1
30649,1
30650,7
30651,0
30652,7
30653,4
30654,2
30655,1
30656,8
30657,5
30658,8
30659,1
30660,2
30661,3
30662,5
30663,9
30664,0
30665,7
30666,3
30667,4
30668,3
30669,6
30670,3
30671,7
30672,6
30673,7
30674,0
30675,0
30676,6
30677,2
30678,0
30679,3
30680,4
30681,2
30682,5
30683,4
30684,2
30685,8
30686,1
30687,0
30688,3
30689,7
30690,8
30691,4
30692,3
30693,8
30694,6
30695,6
30696,1
30697,4
30698,7
30699,3
30700,0
30701,6
30702,5
30703,5
30704,1
30705,3
30706,5
30707,3
30708,4
30709,3
30710,2
30711,0
30712,8
30713,4
30714,4
30715,8
30716,3
30717,0
30718,0
30719,2
30720,5
30721,7
30722,4
30723,1
30724,7
30725,3
30726,2
30727,8
30728,5
30729,8
30730,3
30731,3
30732,1
30733,3
30734,0
30735,2
30736,7
30737,2
30738,2
30739,2
30740,5
30741,6
30742,8
30743,2
30744,3
30745,2
30746,1
30747,3
30748,6
30749,3
30750,7
30751,7
30752,3
30753,0
30754,9
30755,2
30756,6
30757,3
30758,2
30759,4
30760,3
30761,3
30762,1
30763,9
30764,9
30765,4
30766,6
30767,5
30768,3
30769,2
30770,7
30771,4
30772,4
30773,3
30774,2
30775,5
30776,4
30777,6
30778,4
30779,3
30780,0
30781,2
30782,1
30783,7
30784,9
30785,9
30786,7
30787,7
30788,5
30789,9
30790,7
30791,8
30792,4
30793,6
30794,3
30795,0
30796,8
30797,5
30798,9
30799,8
30800,7
